,0
0,3440.7056340046693
1,28376.786706028506
2,-1505.9154819739051
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,-2821.688713494921
51,740.781137969112
52,-1024.6422417352442
53,-10877.63509288663
54,-7967.11399384588
55,13930.795381227275
56,-9941.11327260593
57,1404.3548510442488
58,6191.693825765513
59,-16380.870677288622
60,13488.479106870014
61,9191.614982166793
